date,ic,pval,n_symbols
2019-02-01,0.018818007700686305,0.6214369576744285,691
2019-03-01,0.04673725933210443,0.21981396986966273,691
2019-04-01,-0.041453270176137466,0.2765191764195315,691
2019-05-01,-0.07244267199156453,0.05645747937899479,694
2019-06-03,-0.11354137995377322,0.002721276760560047,695
2019-07-01,0.03378283458814061,0.3731728927938972,697
2019-08-01,-0.01121969766031139,0.765045143199713,712
2019-09-03,0.1795241032298662,1.403541702666949e-06,713
2019-10-01,0.11102936206184101,0.0029502976850933776,715
2019-11-01,-0.10853881103635368,0.003592451875691834,718
2019-12-02,-0.05766351422960554,0.12187545100717907,721
2020-01-02,0.057862673960501244,0.12007468166339877,723
2020-02-03,0.05536047007773223,0.13643566955879124,725
2020-03-02,0.2566249692581504,1.9907324021661967e-12,729
2020-04-01,-0.06301307795618162,0.08954899720913163,727
2020-05-01,0.42175803598137424,7.575349594383229e-33,730
2020-06-01,-0.3744422132684371,7.599240701688067e-26,734
2020-07-01,-0.018748687605302253,0.6110949573640528,738
2020-08-03,-0.2786719113813698,1.199323352136073e-14,739
2020-09-01,-0.2674900687077806,1.4199954590489018e-13,739
2020-10-01,-0.007917673235553934,0.8295220315083478,742
2020-11-02,-0.4711933301417255,2.1877911888967333e-42,744
2020-12-01,-0.13004137337820232,0.0003762537312108395,744
2021-01-04,-0.05077240522009219,0.1653878472398981,748
2021-02-01,-0.021768461335256273,0.5519559319099177,749
2021-03-01,-0.24164331937516204,2.0589662442478554e-11,749
2021-04-01,-0.02751577564817804,0.448180612516048,762
2021-05-03,0.091944360859393,0.011002509678060244,764
2021-06-01,-0.25606975188827136,6.20469012454527e-13,766
2021-07-01,0.05961103874993667,0.09856619082538642,769
2021-08-02,0.11433933605175771,0.0014616108585688882,772
2021-09-01,0.12759305842242125,0.0003794916977195537,772
2021-10-01,0.1050522077547608,0.0034542967289344154,773
2021-11-01,0.08203716647495155,0.022199483917017943,777
2021-12-01,-0.10640044298247994,0.0029824497583488515,777
2022-01-03,0.07641391064538645,0.03274515652314666,781
2022-02-01,-0.024789442075092146,0.4896393046912628,779
2022-03-01,0.3605162000435091,2.539119186293126e-25,779
2022-04-01,0.37299994440782025,4.0266945516186304e-27,779
2022-05-02,0.3329579892345446,1.1988315174466231e-21,780
2022-06-01,0.0681958133591982,0.05742115301297398,777
2022-07-01,-0.28616146653905167,3.959649655892981e-16,778
2022-08-01,-0.3063675638161417,2.1641869583653e-18,779
2022-09-01,-0.0661546478470288,0.06496905481264255,779
2022-10-03,0.11395329652884989,0.0014642772752803295,777
2022-11-01,-0.2371191963246902,2.0982840104726836e-11,778
2022-12-01,0.11594631830747562,0.0012138622944187216,776
2023-02-01,0.020064354344367645,0.5767874265827093,776
2023-03-01,0.007897002607959008,0.8265992513419969,772
2023-04-03,-0.04880695852172216,0.17523097099319745,773
2023-05-01,0.1593638016146265,8.504065075517163e-06,773
2023-06-01,-0.26027879105121376,1.954539251684291e-13,773
2023-07-03,-0.10754722202919251,0.002753720398609705,773
2023-08-01,0.19622040545910832,3.8707634354005e-08,772
2023-09-01,-0.05712785999369314,0.11273600261215232,772
2023-10-02,0.19079284103762104,9.385333180948266e-08,771
2023-11-01,-0.3163031271669636,2.6345433760296576e-19,768
2023-12-01,-0.3052050604062486,5.3372371473152836e-18,767
2024-02-01,0.06388271836939766,0.07723143168554186,766
2024-03-01,0.042161551685374665,0.24443295027332385,764
2024-04-01,0.10346137571727387,0.004275471354191286,761
2024-05-01,0.01108442278469597,0.7606100121024294,758
2024-06-03,0.26390535364113404,1.5232398369790496e-13,758
2024-07-01,-0.1611026078867269,8.650720747872563e-06,755
2024-08-01,0.1853707939510425,2.957205570808141e-07,754
2024-09-03,-0.04091328034200395,0.2624785606690055,752
2024-10-01,0.0651912321060381,0.07438209785569909,750
